size_sqft,bedrooms,age_years,location_score,price_1000s
2122.9,4,4.7,5.88,527.67
1710.1,1,22.1,9.46,440.24
2221.0,3,9.8,2.98,440.05
2790.0,5,9.3,7.53,650.66
1647.8,3,4.7,6.56,449.38
1647.8,3,17.8,7.65,449.1
2826.5,1,37.9,2.93,519.28
2298.8,1,13.8,6.98,531.21
1494.8,1,15.6,5.48,410.65
2152.7,2,32.1,7.69,507.15
1498.8,4,9.8,3.94,415.83
1497.3,2,44.8,9.01,447.92
1957.3,4,26.0,1.76,459.79
556.4,4,22.4,8.26,309.13
678.8,3,27.9,8.75,312.53
1434.5,3,8.3,8.36,476.37
1141.7,4,30.7,5.61,355.41
2004.3,4,18.2,4.95,505.17
1209.8,2,44.9,9.97,416.89
882.0,2,8.4,3.06,202.0
2752.7,3,25.4,5.92,594.62
1653.2,1,29.9,7.04,420.49
1843.9,4,1.7,7.31,508.12
873.9,2,18.2,2.84,238.29
1446.2,3,36.6,6.89,357.76
1872.1,2,41.0,8.37,494.43
1051.9,4,15.7,1.45,278.7
2044.2,4,39.9,9.2,565.9
1409.6,5,48.4,1.27,267.04
1610.4,1,42.8,4.2,357.63
1408.9,5,5.9,1.14,331.32
3004.0,3,37.0,1.69,541.1
1791.2,2,16.0,9.2,489.93
1112.5,3,49.4,4.19,302.41
2334.7,4,24.3,4.82,511.52
1006.5,5,6.1,2.94,282.66
1935.8,5,36.3,6.37,488.25
526.2,5,16.2,6.35,285.02
936.7,3,49.9,4.35,262.83
1928.0,4,49.0,4.0,340.26
2280.0,2,32.8,8.96,568.19
1911.4,2,6.5,4.45,427.74
1724.8,3,34.3,5.44,381.49
1604.3,5,4.7,3.55,433.88
839.0,1,1.5,8.08,348.04
1332.1,3,41.1,4.58,327.1
1500.6,3,10.5,5.62,375.1
2487.1,4,19.0,3.28,519.4
2023.4,2,48.7,9.89,519.64
654.0,3,16.8,3.62,258.96
2010.7,3,14.8,7.94,507.51
1549.7,5,45.9,4.85,422.85
1360.0,5,5.5,2.86,347.47
2197.6,1,38.0,8.2,475.16
2470.1,4,49.4,4.0,472.74
2405.3,1,45.1,8.79,543.35
1254.5,5,32.6,9.24,436.74
1599.0,2,15.7,8.74,466.78
2015.3,5,12.7,1.32,423.54
2434.1,4,41.0,8.09,600.33
1488.5,5,44.0,4.7,376.2
1679.3,4,26.3,8.86,438.52
1080.9,4,12.2,6.74,368.68
1022.5,4,5.6,8.5,349.73
2328.1,4,4.4,5.49,549.43
2681.6,4,36.0,5.82,602.57
1753.2,2,21.0,2.3,336.91
2452.3,1,45.3,8.06,574.1
2035.1,3,37.0,4.77,468.68
1380.7,1,9.6,5.5,390.63
